optimal_depth,search_name,solution_depth,nodes_expanded
10 , IDS , 10 , 5243
11 , IDS , 11 , 203
12 , IDS , 12 , 145705
13 , IDS , 13 , 431470
14 , IDS , 14 , 956984
1 , IDS , 1 , 1
2 , IDS , 2 , 2
3 , IDS , 3 , 3
4 , IDS , 4 , 19
5 , IDS , 5 , 40
6 , IDS , 6 , 162
7 , IDS , 7 , 397
8 , IDS , 8 , 1746
9 , IDS , 9 , 2011
10 , IDS , 10 , 19515
11 , IDS , 11 , 12976
12 , IDS , 12 , 237329
13 , IDS , 13 , 119239
14 , IDS , 14 , 2745520
1 , BFS , 1 , 3
2 , BFS , 2 , 6
3 , BFS , 3 , 12
4 , BFS , 4 , 61
5 , BFS , 5 , 161
6 , BFS , 6 , 1354
7 , BFS , 7 , 1778
8 , BFS , 8 , 4433
9 , BFS , 9 , 9814
10 , BFS , 10 , 76835
11 , BFS , 11 , 190121
12 , BFS , 12 , 1008775
13 , BFS , 13 , 2712331
14 , BFS , 14 , 4839238
1 , BFS , 1 , 1
2 , BFS , 2 , 9
3 , BFS , 3 , 12
4 , BFS , 4 , 29
5 , BFS , 5 , 120
6 , BFS , 6 , 474
7 , BFS , 7 , 1469
8 , BFS , 8 , 7040
9 , BFS , 9 , 17921
10 , BFS , 10 , 86283
11 , BFS , 11 , 186174
12 , BFS , 12 , 679164
13 , BFS , 13 , 2846612
14 , BFS , 14 , 4981739
1 , BFS , 1 , 1
2 , BFS , 2 , 9
3 , BFS , 3 , 11
4 , BFS , 4 , 64
5 , BFS , 5 , 94
6 , BFS , 6 , 1361
7 , BFS , 7 , 1203
8 , BFS , 8 , 7824
9 , BFS , 9 , 15142
10 , BFS , 10 , 72710
11 , BFS , 11 , 185303
12 , BFS , 12 , 1308958
13 , BFS , 13 , 1731407
14 , BFS , 14 , 5161252
1 , BFS , 1 , 3
2 , BFS , 2 , 6
3 , BFS , 3 , 16
4 , BFS , 4 , 27
5 , BFS , 5 , 123
6 , BFS , 6 , 716
7 , BFS , 7 , 989
8 , BFS , 8 , 3716
9 , BFS , 9 , 11110
10 , BFS , 10 , 88985
11 , BFS , 11 , 181855
12 , BFS , 12 , 1344216
13 , BFS , 13 , 2809360
14 , BFS , 14 , 5031862
1 , BFS , 1 , 4
2 , BFS , 2 , 5
3 , BFS , 3 , 12
4 , BFS , 4 , 40
5 , BFS , 5 , 135
6 , BFS , 6 , 1139
7 , BFS , 7 , 1173
8 , BFS , 8 , 7223
9 , BFS , 9 , 12638
10 , BFS , 10 , 45628
11 , BFS , 11 , 105001
12 , BFS , 12 , 1147913
13 , BFS , 13 , 1101961
14 , BFS , 14 , 5712075
1 , BFS , 1 , 1
2 , BFS , 2 , 4
3 , BFS , 3 , 12
4 , BFS , 4 , 28
5 , BFS , 5 , 120
6 , BFS , 6 , 1406
7 , BFS , 7 , 1394
8 , BFS , 8 , 4726
9 , BFS , 9 , 13135
10 , BFS , 10 , 62415
11 , BFS , 11 , 176976
12 , BFS , 12 , 790621
13 , BFS , 13 , 2389119
14 , BFS , 14 , 6304058
1 , BFS , 1 , 1
2 , BFS , 2 , 10
3 , BFS , 3 , 12
4 , BFS , 4 , 68
5 , BFS , 5 , 100
6 , BFS , 6 , 1286
7 , BFS , 7 , 1097
8 , BFS , 8 , 7520
9 , BFS , 9 , 15094
10 , BFS , 10 , 79270
11 , BFS , 11 , 145566
12 , BFS , 12 , 874752
13 , BFS , 13 , 1328907
14 , BFS , 14 , 5049444
1 , BFS , 1 , 1
2 , BFS , 2 , 10
3 , BFS , 3 , 15
4 , BFS , 4 , 39
5 , BFS , 5 , 119
6 , BFS , 6 , 1258
7 , BFS , 7 , 1423
8 , BFS , 8 , 3082
9 , BFS , 9 , 14912
10 , BFS , 10 , 78279
11 , BFS , 11 , 109095
12 , BFS , 12 , 1135194
13 , BFS , 13 , 1558559
14 , BFS , 14 , 4378573
1 , BFS , 1 , 2
2 , BFS , 2 , 7
3 , BFS , 3 , 12
4 , BFS , 4 , 32
5 , BFS , 5 , 163
6 , BFS , 6 , 806
7 , BFS , 7 , 1257
8 , BFS , 8 , 6511
9 , BFS , 9 , 14620
10 , BFS , 10 , 71098
11 , BFS , 11 , 114274
12 , BFS , 12 , 1127522
13 , BFS , 13 , 2899993
1 , BFS , 1 , 1
2 , BFS , 2 , 7
3 , BFS , 3 , 15
4 , BFS , 4 , 47
5 , BFS , 5 , 104
6 , BFS , 6 , 733
7 , BFS , 7 , 1277
8 , BFS , 8 , 4083
9 , BFS , 9 , 15920
10 , BFS , 10 , 37774
11 , BFS , 11 , 171620
12 , BFS , 12 , 691797
13 , BFS , 13 , 2613616
